,Title,Class,,Class,Genre,Count,Percentage
0,Heat Signature,0,,0,Dark Trap,7,23%
1,In My Room,5,,1,,8,27%
2,POLTERGEIST!,1,,2,,5,17%
3,TECHNO THOT!,0,,3,,2,7%
4,SIMP,1,,4,,2,7%
5,Asshole,2,,5,,6,20%
6,WTF,2,,,,30,100%
7,Break Shit,0,,,,,
8,Skeletons In My Closet,1,,,,,
9,u U U U u U did i mfken stutter?,3,,,,,
10,Demi,1,,,,,
11,Pipe Down,3,,,,,
12,Psycho,1,,,,,
13,Wake Up,5,,,,,
14,HEY!,5,,,,,
15,Necrotic Grip,5,,,,,
16,Feasting.On.The.Guts.Of.Angels.,4,,,,,
17,a mosh pit love story,2,,,,,
18,NIGHTMARE!,0,,,,,
19,Fucked Up,2,,,,,
20,That's All,1,,,,,
21,MISA MISA!,0,,,,,
22,fuK u lol,2,,,,,
23,Buffy,4,,,,,
24,Porn!,0,,,,,
25,Look At Me!,1,,,,,
26,Killdozer,5,,,,,
27,WTF!,5,,,,,
28,1-800-CLOSE-UR-EYES,0,,,,,
29,NO SNITCHING (with Dusty Locane),1,,,,,
30,Choke (with granson),,,,,,
